tab	sites
site	location	samples	specimens	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
S19B	Zalawt plain	S19B-1:S19B-2:S19B-3:S19B-4:S19B-5	S19B-1:S19B-2:S19B-3:S19B-4:S19B-5	815	780	Ma	19.0	lt	8.0	29.2	17.0	5.0	5.0	5.0	0.0	n	4.7681	0.0	17.0586	54.9029	Metamorphic	Baked Contact	Amphibolite		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	21.0	11.6	82.2	154.7
S19B	Zalawt plain	S19B-9	S19B-9	815	780	Ma		hem	6.0	67.3		1.0	1.0	1.0	0.0	n		0.0	17.0586	54.9029	Metamorphic	Baked Contact	Amphibolite		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	299.3	248.8	56.7	61.9
S85B	Zalawt plain	S85B-1:S85B-2:S85B-4:S85B-6:S85B-7	S85B-1:S85B-2:S85B-4:S85B-6:S85B-7	815	780	Ma	54.5	mt	310.7	-53.6	3.0	5.0	5.0	5.0	0.0	t	3.6336	0.0	17.0439	55.0304	Metamorphic	Baked Contact	Gneiss		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	76.0	53.0	20.5	277.0
S85B	Zalawt plain	S85B-8:S85B-9	S85B-8:S85B-9	815	780	Ma	180.0	mag	316.0	38.1	6.0	2.0	2.0	2.0	0.0	n	1.8306	0.0	17.0439	55.0304	Metamorphic	Baked Contact	Gneiss		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	213.0	126.0	48.4	338.1
S85B	Zalawt plain	S85B-6	S85B-6	815	780	Ma		lmt	15.8	35.3		1.0	1.0	1.0	0.0	n		0.0	17.0439	55.0304	Metamorphic	Baked Contact	Gneiss		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	207.9	120.1	74.8	133.4
S85B	Zalawt plain	S85B-5	S85B-5	815	780	Ma		Fit 1	247.6	-65.0		1.0	1.0	1.0	0.0	t		0.0	17.0439	55.0304	Metamorphic	Baked Contact	Gneiss		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	290.5	234.4	-27.6	280.3
SD1	Zalawt plain	SD1-1:SD1-2:SD1-3:SD1-6:SD1-7	SD1-1:SD1-2:SD1-3:SD1-6:SD1-7	735	726	Ma	22.2	lt	351.6	27.7	13.0	5.0	5.0	5.0	0.0	n	4.6893	0.0	17.0513	54.8528	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	24.3	13.2	81.6	309.6
SD1	Zalawt plain	SD1-1:SD1-2:SD1-3:SD1-5:SD1-6:SD1-7	SD1-1:SD1-2:SD1-3:SD1-5:SD1-6:SD1-7	735	726	Ma	27.1	mag	300.0	-61.5	7.0	6.0	6.0	6.0	0.0	t	5.2909	0.0	17.0513	54.8528	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM:FS-LOC-GPS	g	41.8	32.2	8.8	275.0
SD1	Zalawt plain	SD1-1:SD1-2:SD1-3:SD1-7	SD1-1:SD1-2:SD1-3:SD1-7	735	726	Ma	37.1	mt	307.4	-26.3	7.0	4.0	4.0	4.0	0.0	t	3.5767	0.0	17.0513	54.8528	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	40.2	21.8	29.5	297.3
SD10	Zalawt plain	SD10-1:SD10-2:SD10-3:SD10-4	SD10-1:SD10-2:SD10-3:SD10-4	735	726	Ma	9.8	mag	64.8	54.6	89.0	4.0	4.0	4.0	0.0	t	3.9662	0.0	17.0628	54.861	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM:FS-LOC-GPS	g	13.8	9.8	30.1	113.7
