tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
S19B	Zalawt plain	S19B-1:S19B-12:S19B-13:S19B-14:S19B-15:S19B-2:S19B-22:S19B-3:S19B-4:S19B-5	S19B-1:S19B-12:S19B-13:S19B-14:S19B-15:S19B-2:S19B-22:S19B-3:S19B-4:S19B-5	   30.3 	mag	  279.5 	  -55.9 	     4 	10.0	10 	10 	0 	t	7.4333 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	   43.5 	   31.2 	   -2.7 	  287.5 
S19B	Zalawt plain	S19B-1:S19B-2:S19B-3:S19B-4:S19B-5	S19B-1:S19B-2:S19B-3:S19B-4:S19B-5	   19.0 	lt	    8.0 	   29.2 	    17 	5.0	5 	5 	0 	n	4.7681 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   21.0 	   11.6 	   82.2 	  154.7 
S19B	Zalawt plain	S19B-16:S19B-17:S19B-19:S19B-20:S19B-21	S19B-16:S19B-17:S19B-19:S19B-20:S19B-21	   11.6 	mt	  274.7 	  -60.8 	    45 	5.0	5 	5 	0 	t	4.9103 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   17.7 	   13.5 	   -7.9 	  283.5 
S19B	Zalawt plain	S19B-7	S19B-7		mht	53.4	84.0		1.0	1	1	0	t		0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  354.2 	  348.6 	   23.9 	   65.3 
S19B	Zalawt plain	S19B-1:S19B-12:S19B-13:S19B-14:S19B-15:S19B-2:S19B-22:S19B-3:S19B-4:S19B-5	S19B-1:S19B-12:S19B-13:S19B-14:S19B-15:S19B-2:S19B-22:S19B-3:S19B-4:S19B-5	   30.3 	mag	  279.5 	  -55.9 	     4 	10.0	10 	10 	0 	t	7.4333 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	   43.5 	   31.2 	   -2.7 	  287.5 
S19B	Zalawt plain	S19B-1:S19B-2:S19B-3:S19B-4:S19B-5	S19B-1:S19B-2:S19B-3:S19B-4:S19B-5	   19.0 	lt	    8.0 	   29.2 	    17 	5.0	5 	5 	0 	n	4.7681 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   21.0 	   11.6 	   82.2 	  154.7 
S19B	Zalawt plain	S19B-9	S19B-9		hem	6.0	67.3		1.0	1	1	0	n		0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  299.3 	  248.8 	   56.7 	   61.9 
S19B	Zalawt plain	S19B-9	S19B-9		hem	6.0	67.3		1.0	1	1	0	n		100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  299.3 	  248.8 	   56.7 	   61.9 
S85B	Zalawt plain	S85B-1:S85B-2:S85B-4:S85B-6:S85B-7	S85B-1:S85B-2:S85B-4:S85B-6:S85B-7	   54.5 	mt	  310.7 	  -53.6 	     3 	5.0	5 	5 	0 	t	3.6336 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   76.0 	   53.0 	   20.5 	  277.0 
S85B	Zalawt plain	S85B-6	S85B-6		lmt	15.8	35.3		1.0	1	1	0	n		100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  207.9 	  120.1 	   74.8 	  133.4 
S85B	Zalawt plain	S85B-8:S85B-9	S85B-8:S85B-9	  180.0 	mag	  316.0 	   38.1 	     6 	2.0	2 	2 	0 	n	1.8306 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  213.0 	  126.0 	   48.4 	  338.1 
S85B	Zalawt plain	S85B-1:S85B-2:S85B-4:S85B-6:S85B-7	S85B-1:S85B-2:S85B-4:S85B-6:S85B-7	   54.5 	mt	  310.7 	  -53.6 	     3 	5.0	5 	5 	0 	t	3.6336 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   76.0 	   53.0 	   20.5 	  277.0 
S85B	Zalawt plain	S85B-8:S85B-9	S85B-8:S85B-9	  180.0 	mag	  316.0 	   38.1 	     6 	2.0	2 	2 	0 	n	1.8306 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  213.0 	  126.0 	   48.4 	  338.1 
S85B	Zalawt plain	S85B-6	S85B-6		lmt	15.8	35.3		1.0	1	1	0	n		0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  207.9 	  120.1 	   74.8 	  133.4 
S85B	Zalawt plain	S85B-5	S85B-5		Fit 1	247.6	-65.0		1.0	1	1	0	t		0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  290.5 	  234.4 	  -27.6 	  280.3 
S85B	Zalawt plain	S85B-5	S85B-5		Fit 1	247.6	-65.0		1.0	1	1	0	t		100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  290.5 	  234.4 	  -27.6 	  280.3 
