tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
AynC-4	AynC-4_LP-DIR-T	AynC-4		mt	21.4	32.2	3.0	4.0	0.0	29.7	5.5	613.0	548.0	K		hargrave 2023-10-10 16:56:44	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-5	AynC-5_LP-DIR-T	AynC-5		lt	5.4	25.2	3.0	5.0	0.0	35.5	1.0	498.0	273.0	K		hargrave 2023-10-17 16:16:39	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-5	AynC-5_LP-DIR-T	AynC-5		mag	187.0	-8.7	3.0	13.0	0.0	0.0	2.6	863.0	773.0	K		hargrave 2023-10-17 16:16:39	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-5	AynC-5_LP-DIR-T	AynC-5		mt	155.9	29.1	3.0	6.0	0.0	42.4	31.1	673.0	573.0	K		hargrave 2023-10-17 16:16:39	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-6	AynC-6_LP-DIR-T	AynC-6		mag	55.2	-40.3	3.0	12.0	0.0	54.7	8.7	863.0	783.0	K		hargrave 2023-10-17 16:18:12	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-6	AynC-6_LP-DIR-T	AynC-6		lt	28.4	23.4	3.0	4.0	0.0	14.0	5.5	473.0	273.0	K		hargrave 2023-10-17 16:18:12	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-6	AynC-6_LP-DIR-T	AynC-6		mt	352.1	57.7	3.0	6.0	0.0	15.3	4.0	673.0	573.0	K		hargrave 2023-10-17 16:18:12	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-7	AynC-7_LP-DIR-T	AynC-7		lt	20.8	59.2	2.0	4.0	0.0	2.7	5.3	473.0	273.0	K		hargrave 2023-10-06 09:47:32	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-7	AynC-7_LP-DIR-T	AynC-7		mag	53.8	62.0	2.0	16.0	0.0	0.0	14.2	845.0	673.0	K		hargrave 2023-10-06 09:47:32	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-8	AynC-8_LP-DIR-T	AynC-8		lt	5.7	31.4	1.0	5.0	0.0	7.4	1.9	523.0	77.0	K		hargrave 2023-09-25 16:58:17	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
